3794,7470,Darbara Singh,Jalandhar,Punjab
3810,8455,Surender Singh,"Bhiwani, Bhiwani",Haryana
3812,9223,Sushma Swaraj,"South Delhi, South Delhi, Vidisha, Vidisha","Madhya Pradesh, Uttarakhand, Haryana"
3819,9058,Parvathaneni Upendra,"Vijayawada, Vijayawada","Andhra Pradesh, Andhra Pradesh"
3822,7221,M.P. Veerendra Kumar,"Calicut, Calicut","Kerala, Kerala"
3832,8570,Ram Kripal Yadav,"Patna, Patna, Patna, Pataliputra, Pataliputra",Bihar
3862,8467,Syed Hussain,Ladakh,Jammu and Kashmir
3867,9242,Bhubaneswar Kalita,Gauhati,"Assam, Assam, Assam, Assam"
3887,7113,Mukhtar Abbas Naqvi,Rampur,"Jharkhand, Uttar Pradesh, Uttar Pradesh"
3931,9026,Som Pal,Baghpat,"Uttar Pradesh, Uttar Pradesh"
3936,9045,Prabha Thakur,Ajmer,"Rajasthan, Rajasthan"
3944,9074,Virendra Verma,Kairana,"Uttar Pradesh, Uttar Pradesh"
3947,7231,Motilal Vora,Rajnandgaon,"Chhattisgarh, Chhattisgarh, Chhattisgarh, Madhya Pradesh"
3957,7477,Khagen Das,"Tripura West, Tripura West, Tripura West",Tripura
3989,7675,Kailash Joshi,"Bhopal, Bhopal",Madhya Pradesh
3999,7135,Dharmendra Pradhan,Deogarh,"Madhya Pradesh, Bihar"
4000,8369,Navjot Singh Sidhu,"Ind., Amritsar",Bhadrak
4001,7740,Avinash Rai Khanna,Hoshiarpur,Punjab
4031,7235,Chandrapal Singh Yadav,Jhansi,Uttar Pradesh
4044,9262,Pratibha Singh,"Mandi, Mandi","Bihar, Bihar, Bihar, Bihar"
4077,7174,Kapil Sibal,"Chandni Chowk, Chandni Chowk","Uttar Pradesh, Bihar"
4097,8074,Brajesh Pathak,Unnao,Uttar Pradesh
4114,7549,L. Ganesan,Tiruchirappalli,Tamil Nadu
4128,7810,Sukhdev Singh Libra,"Ropar, Fatehgarh Sahib",Punjab
4130,7042,Sukhdev Singh Dhindsa,Sangrur,"Punjab, Punjab, Punjab"
4137,8875,Brahmananda Panda,Jagatsinghpur,"Orissa, Orissa"
4152,7176,Akhilesh Prasad Singh,Motihari,Bihar
4154,8428,Sitaram Singh,Sheohar,Bihar
