3422,8387,Jagannath Singh,"Sidhi, Sidhi",Madhya Pradesh,Yes
3427,8411,Uday Pratap Singh,"Mainpuri, Mainpuri",Uttar Pradesh,Yes
3443,8514,K.C. Tyagi,Hapur,Bihar,Yes
3453,8567,Janardan Yadav,Godda,Bihar,Yes
3496,7528,Saroj Dubey,Allahabad,Bihar,Yes
3518,7696,Kanshi Ram,"Etawah, Hoshiarpur",Uttar Pradesh,Yes
3542,7933,Mohan Singh,"Ferozepur, Ferozepur",Uttar Pradesh,
3560,8080,Pratibha Devisingh Patil,Amravati,Maharashtra,Yes
3561,8084,Suryakanta Patil,"Nanded, Hingoli, Hingoli",Maharashtra,Yes
3585,9195,Roshan Lal,Khurja,"Himachal Pradesh, Himachal Pradesh, Himachal Pradesh",Yes
3604,7933,Mohan Singh,"Deoria, Deoria, Deoria",Uttar Pradesh,
3620,9051,Sushila Tiriya,"Mayurbhanj, Mayurbhanj","Orissa, Orissa",Yes
3623,8507,Frida Topno,"Sundergarh, Sundergarh",Orissa,Yes
3655,7013,Birendra Prasad Baishya,Mangaldoi,"Assam, Assam",Yes
3656,7016,S.R. Balasubramoniyan,Nilgiris,Tamil Nadu,Yes
3664,7397,Jayanta Bhattacharya,Tamluk,West Bengal,Yes
3666,7025,Ranjib Biswal,"Jagatsinghpur, Jagatsinghpur",Orissa,Yes
3697,9243,Suresh Kalmadi,"Pune, Pune, Pune","Maharashtra, Maharashtra, Maharashtra, Maharashtra",Yes
3701,7701,Ghulam Rasool Kar,Baramullah,Nominated,Yes
3707,7752,K.C. Kondaiah,"Bellary, Bellary",Karnataka,Yes
3723,8830,Chaturanan Mishra,Madhubani,"Bihar, Bihar",Yes
3738,7120,Vishambhar Prasad Nishad,Fatehpur,"Uttar Pradesh, Uttar Pradesh",Yes
3743,8059,Kameshwar Paswan,Nawada,Bihar,Yes
3755,8133,V.V. Raghavan,"Trichur, Trichur",Kerala,Yes
3756,8910,Ratna Bahadur Rai,Darjeeling,"West Bengal, West Bengal",Yes
3758,8163,K.P. Ramalingam,Tiruchengode,Tamil Nadu,Yes
3771,7159,T. Subbarami Reddy,"Visakhapatnam, Visakhapatnam","Andhra Pradesh, Andhra Pradesh, Andhra Pradesh",Yes
3779,8295,Arun Kumar Sarma,"Lakhimpur, Lakhimpur",Assam,Yes
3788,8340,Krishan Lal Sharma,"Outer Delhi, Outer Delhi",Himachal Pradesh,Yes
3794,7470,Darbara Singh,Jalandhar,Punjab,No
3810,8455,Surender Singh,"Bhiwani, Bhiwani",Haryana,Yes
3812,9223,Sushma Swaraj,"South Delhi, South Delhi, Vidisha, Vidisha","Madhya Pradesh, Uttarakhand, Haryana",Yes
